time,x,y
1729.337995,4252396.591876314,7375891.071712004
1729.357996,4252395.283765835,7375891.599984769
1729.377995,4252393.973332521,7375892.129330067
1729.398022,4252392.655579605,7375892.6618005
1729.421151,4252390.954021109,7375893.3494567145
1729.437996,4252390.014272143,7375893.729181851
1729.457996,4252388.689898256,7375894.264123787
1729.477994,4252387.365820302,7375894.798577943
1729.498031,4252386.0390301095,7375895.333627133
1729.5179950000002,4252384.720287753,7375895.865004897
1729.537995,4252383.399609684,7375896.396916558
1729.557996,4252382.080825876,7375896.928001006
1729.577994,4252380.762876355,7375897.458867541
1729.598022,4252379.441275516,7375897.991485605
1729.6179960000002,4252378.129070157,7375898.520559634
1729.6381,4252376.802354945,7375899.055584139
1729.658001,4252375.49605761,7375899.582329484
1729.678639,4252374.138629563,7375900.1294922065
1729.697999,4252372.868050447,7375900.641330534
1729.717995,4252371.547684727,7375901.172832799
1729.737996,4252370.231255161,7375901.702320393
1729.757994,4252368.914561947,7375902.2314514415
1729.777996,4252367.599001388,7375902.759631906
1729.797997,4252366.286392102,7375903.286126704
1729.817996,4252364.972708604,7375903.812793635
1729.837997,4252363.6601903355,7375904.339113854
1729.857999,4252362.342541829,7375904.867996668
1729.877995,4252361.03662296,7375905.393050988
1729.897999,4252359.719626925,7375905.9237714885
1729.9180310000002,4252358.409618599,7375906.452670639
1729.937995,4252357.102771852,7375906.980778797
1729.958004,4252355.791660413,7375907.51059013
1729.9786310000002,4252354.437557162,7375908.057212544
1729.998002,4252353.162997634,7375908.570764462
1730.017998,4252351.862053725,7375909.094083975
1730.037998,4252350.554057695,7375909.619744313
1730.057996,4252349.246149485,7375910.145262788
1730.077995,4252347.933626477,7375910.672923308
1730.097998,4252346.626149933,7375911.199196153
1730.1179940000002,4252345.325494805,7375911.723340694
1730.1379960000002,4252344.0200324645,7375912.249822193
1730.157996,4252342.71439623,7375912.776551921
1730.177996,4252341.408515904,7375913.303335124
1730.197998,4252340.100131254,7375913.830881734
1730.218002,4252338.797120791,7375914.356022279
1730.2386290000002,4252337.448708762,7375914.899335991
1730.2579950000002,4252336.187709499,7375915.407430213
1730.277995,4252334.882948192,7375915.933277764
1730.297997,4252333.572720367,7375916.461556949
1730.317996,4252332.2773014745,7375916.984055049
1730.337994,4252330.975581659,7375917.509172238
1730.357996,4252329.674653606,7375918.03393417
1730.377995,4252328.373989651,7375918.558439785
1730.397998,4252327.065409155,7375919.085887571
1730.417997,4252325.771674778,7375919.607154543
1730.437995,4252324.472537807,7375920.130531834
1730.457996,4252323.172786597,7375920.654221356
1730.477998,4252321.873372478,7375921.177971686
1730.500306,4252320.238607453,7375921.837317825
1730.517996,4252319.275586885,7375922.225868313
1730.537996,4252317.97814648,7375922.749319071
1730.557994,4252316.681161467,7375923.272353753
1730.577996,4252315.383274357,7375923.7953007
1730.598034,4252314.082822323,7375924.318641331
1730.617995,4252312.788245638,7375924.83910297
1730.6379960000002,4252311.491409492,7375925.360247414
1730.657997,4252310.194430391,7375925.881514736
1730.677999,4252308.8982565245,7375926.402815446
1730.698038,4252307.6013508625,7375926.925023613
1730.718067,4252306.302090341,7375927.448705464
1730.738016,4252305.012577985,7375927.968702229
1730.758648,4252303.675238411,7375928.50794576
1730.778008,4252302.42766214,7375929.010689617
1730.798032,4252301.129055952,7375929.533451181
1730.818021,4252299.838106156,7375930.052742284
1730.838019,4252298.54467769,7375930.573020544
1730.85802,4252297.25176851,7375931.093460651
1730.878023,4252295.958884314,7375931.614643107
1730.8980330000002,4252294.666473345,7375932.136720374
1730.918996,4252293.301495484,7375932.689143858
1730.938998,4252292.010417207,7375933.212237402
1730.958992,4252290.724143223,7375933.73355544
1730.9789910000002,4252289.4344648635,7375934.256042593
1730.998996,4252288.141774704,7375934.779199158
1731.018993,4252286.854839193,7375935.299487271
1731.038996,4252285.5655514505,7375935.820355607
1731.059009,4252284.274446333,7375936.341756583
1731.079758,4252282.941513152,7375936.880018808
1731.0989960000002,4252281.695046391,7375937.383483579
1731.118995,4252280.408445265,7375937.903297847
1731.138992,4252279.128691779,7375938.4204441905
1731.158991,4252277.830215067,7375938.945214374
1731.178993,4252276.544953267,7375939.464658703
1731.198995,4252275.253256063,7375939.986674187
1731.218993,4252273.971746847,7375940.504484808
1731.2389930000002,4252272.686388329,7375941.0236984305
1731.258992,4252271.4008971285,7375941.542748148
1731.278992,4252270.115837063,7375942.061341388
1731.299033,4252268.827990505,7375942.58074508
1731.318995,4252267.546221846,7375943.09761801
1731.339008,4252266.261185285,7375943.616085359
1731.362158,4252264.611197974,7375944.282777773
1731.378991,4252263.693706335,7375944.654230926
1731.399026,4252262.409262717,7375945.175351673
1731.418991,4252261.127916686,7375945.696123844
1731.438993,4252259.844800754,7375946.217874037
1731.458992,4252258.562296841,7375946.738981924
1731.478992,4252257.279194368,7375947.259286708
1731.499009,4252255.992324378,7375947.779516706
1731.518991,4252254.713001583,7375948.295353867
1731.538992,4252253.430196392,7375948.811871225
1731.558991,4252252.147636902,7375949.328186472
1731.579022,4252250.861230801,7375949.846573381
1731.5989980000002,4252249.580483658,7375950.363748385
1731.619007,4252248.3039325895,7375950.880242793
1731.6397550000002,4252246.981521135,7375951.416015861
1731.658992,4252245.747610049,7375951.916282581
1731.678992,4252244.467261742,7375952.435411137
1731.698995,4252243.184246406,7375952.955374372
1731.718992,4252241.906555583,7375953.472979527
1731.7389910000002,4252240.625537159,7375953.991930839
1731.758996,4252239.344704267,7375954.5110047115
1731.778997,4252238.064752919,7375955.030118623
1731.798996,4252236.780835082,7375955.5514003355
1731.818991,4252235.507266832,7375956.068876142
1731.838991,4252234.228920688,7375956.588384691
1731.8589920000002,4252232.951512683,7375957.107296875
1731.8789920000002,4252231.673279381,7375957.626021734
1731.899002,4252230.392041759,7375958.145181204
1731.919006,4252229.114179384,7375958.662303216
1731.939754,4252227.795257209,7375959.195641432
1731.958992,4252226.569960319,7375959.691027529
1731.978992,4252225.283689812,7375960.211251462
1731.998998,4252224.001385849,7375960.730303378
1732.018992,4252222.727246154,7375961.246392538
1732.038991,4252221.45336933,7375961.762477628
1732.058991,4252220.185133178,7375962.276142126
1732.078992,4252218.909026882,7375962.792618947
1732.0989960000002,4252217.620243095,7375963.313641426
1732.118993,4252216.355515013,7375963.824475885
1732.138993,4252215.078725472,7375964.339971874
1732.158992,4252213.802336185,7375964.855351204
1732.178993,4252212.526424913,7375965.370839389
1732.198999,4252211.240268931,7375965.891001076
1732.221193,4252209.6666149795,7375966.528120693
1732.2389910000002,4252208.701599759,7375966.919091092
1732.258992,4252207.429355533,7375967.434723057
1732.278991,4252206.155131795,7375967.951244857
1732.299,4252204.870195249,7375968.472059189
1732.318993,4252203.607894291,7375968.983540824
1732.338992,4252202.333910218,7375969.499500616
1732.3589920000002,4252201.060347669,7375970.014935788
1732.3789920000002,4252199.785746869,7375970.530339624
1732.398999,4252198.498918192,7375971.050154058
1732.418993,4252197.236562648,7375971.5596627155
1732.439018,4252195.950964519,7375972.078312663
1732.459008,4252194.68769171,7375972.587903801
1732.479755,4252193.363774529,7375973.1221015835
1732.498996,4252192.14008308,7375973.616158056
1732.518992,4252190.872273032,7375974.12843004
1732.538992,4252189.600396595,7375974.642824082
1732.558992,4252188.328144084,7375975.157917829
1732.578992,4252187.056531996,7375975.673366936
1732.599029,4252185.779672863,7375976.191603396
1732.6189920000002,4252184.512637802,7375976.706350229
1732.638994,4252183.240584909,7375977.223383212
1732.658996,4252181.963430583,7375977.742485678
1732.678992,4252180.69768328,7375978.256696789
1732.699,4252179.425675052,7375978.772967847
1732.718992,4252178.156407248,7375979.287608695
1732.7389930000002,4252176.885717924,7375979.80236509
1732.758995,4252175.615225083,7375980.316639339
1732.779007,4252174.343306552,7375980.831146387
1732.799821,4252173.010378128,7375981.3700285675
1732.818991,4252171.801581007,7375981.858521222
1732.838993,4252170.527800901,7375982.373132126
1732.8589960000002,4252169.255162213,7375982.887205283
1732.8789920000002,4252167.980906903,7375983.401925207
1732.898998,4252166.710380546,7375983.915192685
1732.918996,4252165.43749653,7375984.429445875
1732.938992,4252164.16950177,7375984.941698056
1732.958991,4252162.89845305,7375985.455099033
1732.978992,4252161.627464673,7375985.968331317
1732.998996,4252160.353376968,7375986.482611926
1733.018993,4252159.085059825,7375986.994311799
1733.038999,4252157.812827527,7375987.507293746
1733.058995,4252156.541360554,7375988.019624016
1733.08119,4252154.958421471,7375988.656912227
1733.098997,4252153.993511094,7375989.045061852
1733.1189920000002,4252152.726040501,7375989.554605334
1733.138991,4252151.453832619,7375990.0657818355
1733.158992,4252150.182022469,7375990.576623455
1733.178991,4252148.910656737,7375991.087208415
1733.199,4252147.63473473,7375991.599621312
1733.218993,4252146.368862506,7375992.107909788
1733.238992,4252145.098121366,7375992.617900428
1733.258992,4252143.827226715,7375993.1275345655
1733.278993,4252142.555365414,7375993.636973033
1733.299028,4252141.274129949,7375994.149444895
1733.319649,4252139.95436547,7375994.676722671
1733.338997,4252138.738787644,7375995.162085763
1733.358997,4252137.465015688,7375995.670647537
1733.378998,4252136.192517951,7375996.178925297
1733.399003,4252134.917153949,7375996.688799052
1733.419002,4252133.648802901,7375997.196206616
1733.4390050000002,4252132.377687204,7375997.704787408
1733.459012,4252131.106490747,7375998.213195866
1733.479014,4252129.83522665,7375998.721154432
1733.499019,4252128.561127446,7375999.229532324
1733.519018,4252127.290195763,7375999.736000862
1733.5390160000002,4252126.021504555,7376000.241141105
1733.5590160000002,4252124.749993471,7376000.747176076
1733.579019,4252123.477849083,7376001.253443445
1733.59903,4252122.200650939,7376001.761895074
1733.619027,4252120.933672242,7376002.266503554
1733.638641,4252119.681521374,7376002.765416261
1733.659631,4252118.336149379,7376003.301692501
1733.679027,4252117.120227502,7376003.786554248
1733.69903,4252115.845404104,7376004.2950531775
1733.719026,4252114.57790409,7376004.8005224345
1733.739027,4252113.304936105,7376005.307695104
1733.759027,4252112.036644379,7376005.812162052
1733.7790260000002,4252110.765829649,7376006.316421612
1733.79903,4252109.4916605195,7376006.820495775
1733.819027,4252108.22360939,7376007.320883102
1733.839027,4252106.951380318,7376007.822146297
1733.859027,4252105.680123945,7376008.322750701
1733.879026,4252104.40806146,7376008.823894784
1733.898672,4252103.150650624,7376009.319915476
1733.919661,4252101.805915237,7376009.85105864
1733.939027,4252100.593279676,7376010.330376838
1733.959026,4252099.319211877,7376010.834082577
1733.97903,4252098.0497515695,7376011.3358198125
1733.9990340000002,4252096.774294848,7376011.839541143
1734.0190320000002,4252095.508709831,7376012.338916544
1734.039029,4252094.238651125,7376012.839625499
1734.059032,4252092.967941122,7376013.340175499
1734.079032,4252091.696526783,7376013.840604151
1734.099033,4252090.42165898,7376014.342011593
1734.119029,4252089.152533702,7376014.840819911
1734.1390310000002,4252087.879665637,7376015.340804007
1734.161199,4252086.300691107,7376015.960685058
1734.178995,4252085.334245678,7376016.3399444735
1734.199034,4252084.059863379,7376016.839907514
1734.2189950000002,4252082.791225499,7376017.3374776365
1734.2389950000002,4252081.519625204,7376017.836081367
1734.258994,4252080.248182603,7376018.33450602
1734.278996,4252078.976266027,7376018.833010466
1734.299,4252077.701104004,7376019.332678803
1734.318996,4252076.431563488,7376019.829933679
1734.338995,4252075.1590413675,7376020.327994065
1734.358995,4252073.885813379,7376020.825815846
1734.379018,4252072.609128504,7376021.324319274
1734.398998,4252071.335007676,7376021.821034806
1734.418654,4252070.0857969,7376022.307425531
1734.43963,4252068.743483565,7376022.829697543
1734.458996,4252067.522992403,7376023.304512961
1734.4789950000002,4252066.249360233,7376023.800223879
1734.498998,4252064.973530766,7376024.297264536
1734.518995,4252063.704115914,7376024.792258382
1734.538996,4252062.431041179,7376025.288985671
1734.558996,4252061.158804849,7376025.785544887
1734.578997,4252059.886050845,7376026.282317674
1734.598999,4252058.608352375,7376026.780880119
1734.6189940000002,4252057.341308927,7376027.27497215
1734.638996,4252056.068646092,7376027.770756347
1734.658995,4252054.796227531,7376028.265759873
1734.6790150000002,4252053.516550597,7376028.762708892
1734.699012,4252052.243926132,7376029.255906647
1734.718644,4252050.993117154,7376029.739876665
1734.73964,4252049.64594829,7376030.260694205
1734.758995,4252048.426352555,7376030.732172788
1734.778995,4252047.151340174,7376031.225435429
1734.798998,4252045.875461609,7376031.719724301
1734.818996,4252044.602494161,7376032.213424686
1734.838995,4252043.331750379,7376032.706425114
1734.8589940000002,4252042.059234719,7376033.199898893
1734.878995,4252040.785278237,7376033.693339757
1734.898998,4252039.507975633,7376034.187163805
1734.919031,4252038.232580423,7376034.679484822
1734.938995,4252036.9599171085,7376035.170351641
1734.9589990000002,4252035.683726443,7376035.662542168
1734.978996,4252034.407892425,7376036.154922717
1734.999003,4252033.130056033,7376036.648704774
1735.021156,4252031.552129258,7376037.258962032
1735.038994,4252030.584146086,7376037.633254726
1735.058996,4252029.310628665,7376038.125197769
1735.078996,4252028.035974394,7376038.616593369
1735.0990000000002,4252026.757258907,7376039.108180514
1735.118995,4252025.4840053655,7376039.596569705
1735.138996,4252024.206936347,7376040.085897367
1735.158994,4252022.930431182,7376040.575059634
1735.178996,4252021.653891262,7376041.064862436
1735.198998,4252020.373028087,7376041.55744578
1735.2189950000002,4252019.102561053,7376042.0469275145
1735.239012,4252017.823709237,7376042.539991045
1735.258995,4252016.551870501,7376043.030151123
1735.278634,4252015.296210242,7376043.513346469
1735.299669,4252013.942544098,7376044.032928234
1735.318996,4252012.723268304,7376044.499863205
1735.338994,4252011.44446134,7376044.988903923
1735.3589960000002,4252010.166410254,7376045.477339374
1735.378995,4252008.8887994895,7376045.965687933
1735.398998,4252007.6084002545,7376046.4555296935
1735.419,4252006.33405046,7376046.9434077935
1735.438996,4252005.058282977,7376047.431906531
1735.4589990000002,4252003.779122982,7376047.921507179
1735.4789950000002,4252002.505889316,7376048.408369788
1735.498998,4252001.226604252,7376048.896849104
1735.518996,4251999.952277208,7376049.382904984
1735.538996,4251998.675345122,7376049.869772136
1735.558629,4251997.418768866,7376050.349039087
1735.579628,4251996.069145568,7376050.864354617
1735.599001,4251994.839275655,7376051.334737388
1735.618995,4251993.565638714,7376051.822534805
1735.638996,4251992.287720886,7376052.312351497
1735.658995,4251991.010708302,7376052.801885638
1735.678996,4251989.7308442565,7376053.292260424
1735.699031,4251988.452595308,7376053.781480119
1735.718996,4251987.178187619,7376054.268671783
1735.7389950000002,4251985.90174071,7376054.756182759
1735.758994,4251984.624078469,7376055.243795828
1735.778997,4251983.346343898,7376055.731173686
1735.799035,4251982.065867227,7376056.219419978
1735.818628,4251980.814011506,7376056.696561012
1735.8396320000002,4251979.460250283,7376057.212250449
1735.8589960000002,4251978.234755919,7376057.678746857
1735.878994,4251976.955407999,7376058.16533476
1735.899,4251975.672882014,7376058.652659715
1735.918997,4251974.396664381,7376059.1372152725
1735.938995,4251973.120798197,7376059.621433042
1735.958995,4251971.842970907,7376060.106358041
1735.978996,4251970.565406505,7376060.591314143
1735.998999,4251969.284827719,7376061.077677903
1736.018995,4251968.010103087,7376061.561924658
1736.038995,4251966.732572847,7376062.047051951
1736.058996,4251965.454755539,7376062.531810081
1736.078996,4251964.176678514,7376063.015895715
1736.10138,4251962.5671770405,7376063.624080395
1736.1189940000002,4251961.618721135,7376063.98185289
1736.138996,4251960.34138361,7376064.463245327
1736.158996,4251959.0624039,7376064.94505599
1736.178996,4251957.78318261,7376065.4270903
1736.198997,4251956.50446404,7376065.9093591375
1736.218996,4251955.22634708,7376066.391782815
1736.238998,4251953.947716789,7376066.8745821025
1736.258996,4251952.669503312,7376067.357204823
1736.278995,4251951.3910388015,7376067.839702129
1736.298998,4251950.112042629,7376068.321994304
1736.3190530000002,4251948.826443855,7376068.806304226
1736.3386420000002,4251947.575264944,7376069.277189136
1736.3596300000002,4251946.223272518,7376069.785503153
1736.378995,4251944.9955315,7376070.246637237
1736.398998,4251943.709184303,7376070.729310184
1736.4190620000002,4251942.427755993,7376071.209692967
1736.438996,4251941.151796191,7376071.687638483
1736.458995,4251939.8711546445,7376072.167002695
1736.478994,4251938.589900662,7376072.646313849
1736.498998,4251937.306501956,7376073.126182383
1736.518996,4251936.028980077,7376073.60352707
1736.539,4251934.745523227,7376074.08262037
1736.558995,4251933.467944167,7376074.55891265
1736.578996,4251932.1868629195,7376075.035762669
1736.5989980000002,4251930.901699815,7376075.513269671
1736.6189960000002,4251929.622013522,7376075.9880098365
1736.639002,4251928.338638306,7376076.463622683
1736.659625,4251927.0048664315,7376076.957641398
1736.678995,4251925.7737862365,7376077.413606512
1736.698998,4251924.486770341,7376077.890467157
1736.718996,4251923.206706208,7376078.364834833
1736.7389950000002,4251921.924136678,7376078.839978224
1736.758996,4251920.6387765715,7376079.315764929
1736.778994,4251919.3573358,7376079.789475809
1736.799,4251918.068005572,7376080.265269166
1736.818995,4251916.7884289585,7376080.736692488
1736.838994,4251915.503548775,7376081.209475598
1736.8589960000002,4251914.218986856,7376081.68172509
1736.878997,4251912.93439258,7376082.153748634
1736.898671,4251911.670725647,7376082.617994444
1736.919669,4251910.310297791,7376083.117581599
1736.938995,4251909.0838782545,7376083.5675667925
1736.958996,4251907.797712207,7376084.038864701
1736.978996,4251906.508275676,7376084.51052444
1736.9990300000002,4251905.218567187,7376084.981265589
1737.018994,4251903.931188401,7376085.450208415
1737.038995,4251902.641777171,7376085.919121947
1737.058996,4251901.354362648,7376086.386717469
1737.078996,4251900.070653243,7376086.852552678
1737.099031,4251898.789430265,7376087.317239589
1737.1189960000002,4251897.517479659,7376087.778429335
1737.138993,4251896.245616679,7376088.23953696
1737.159002,4251894.971805001,7376088.701384848
1737.182145,4251893.322956506,7376089.299397164
1737.198998,4251892.411773139,7376089.629995223
1737.218996,4251891.129676057,7376090.095163446
1737.2389950000002,4251889.8404370295,7376090.562665105
1737.258996,4251888.5491354475,7376091.030378714
1737.278995,4251887.257063857,7376091.497556706
1737.299032,4251885.963412563,7376091.964250263
1737.318996,4251884.675783793,7376092.427865394
1737.3389960000002,4251883.385711348,7376092.891806844
1737.358995,4251882.096405039,7376093.355275064
1737.378994,4251880.807267463,7376093.818841699
1737.399028,4251879.511457156,7376094.285287323
1737.41965,4251878.1740337415,7376094.767150575
1737.438996,4251876.940279756,7376095.211807644
1737.458995,4251875.649914222,7376095.676759244
1737.478996,4251874.359966602,7376096.14118913
1737.498998,4251873.068945602,7376096.605392044
1737.519,4251871.778135045,7376097.068865667
1737.538996,4251870.48779324,7376097.531587065
1737.558995,4251869.196177528,7376097.994250789
1737.578996,4251867.905612256,7376098.456093957
1737.5989980000002,4251866.609560902,7376098.919521614
1737.619012,4251865.319334674,7376099.380537964
1737.638995,4251864.032343322,7376099.840110078
1737.658996,4251862.740832051,7376100.301044901
1737.678995,4251861.449310174,7376100.76177008
1737.699,4251860.154621949,7376101.223445167
1737.719002,4251858.8645117,7376101.68330631
1737.739633,4251857.528783225,7376102.159213042
1737.758995,4251856.280605688,7376102.603706234
1737.778996,4251854.98730711,7376103.064020653
1737.798999,4251853.691876806,7376103.524815218
1737.818995,4251852.402375613,7376103.983165151
1737.8389960000002,4251851.108172099,7376104.44277357
1737.8589960000002,4251849.81801834,7376104.900455995
1737.878996,4251848.525611988,7376105.3583732275
1737.899009,4251847.230666825,7376105.81657112
1737.918998,4251845.938985239,7376106.273164357
1737.938996,4251844.648010269,7376106.729344324
1737.958995,4251843.35427838,7376107.186621672
1737.979003,4251842.060273981,7376107.644406187
1737.9997070000002,4251840.705619664,7376108.124341977
1738.018995,4251839.475042837,7376108.560730798
1738.038995,4251838.180556027,7376109.019764259
1738.058996,4251836.884456541,7376109.478899985
1738.078995,4251835.5934888935,7376109.935296237
1738.0989980000002,4251834.296092063,7376110.392639923
1738.118995,4251833.006062168,7376110.846209791
1738.138996,4251831.712097731,7376111.300416902
1738.159,4251830.418098466,7376111.754324945
