E,N,h
82.7409585956942,-62.8463223884294,3.99039591474282
82.7409585956942,-62.8463223884294,3.99039591474282
82.7409585956942,-62.8463223884294,3.99039591474282
82.7409585956942,-62.8463223884294,3.99039591474282
82.7409585956942,-62.8463223884294,3.99039591474282
82.7388430922484,-62.8476163653836,3.99216430596096
82.7388430922484,-62.8476163653836,3.99216430596096
82.7388430922484,-62.8476163653836,3.99216430596096
82.7388430922484,-62.8476163653836,3.99216430596096
82.7388430922484,-62.8476163653836,3.99216430596096
82.7389487908579,-62.8462977212504,3.99132728451723
82.7389487908579,-62.8462977212504,3.99132728451723
82.7389487908579,-62.8462977212504,3.99132728451723
82.7389487908579,-62.8462977212504,3.99132728451723
82.7389487908579,-62.8462977212504,3.99132728451723
82.7386250939351,-62.8456249544705,3.99364038749898
