Unnamed: 0,time,heading
55945,1118.9,259.0893663953132
55946,1118.92,259.07216318134283
55947,1118.94,259.06791248125927
55948,1118.96,259.0635545488028
55949,1118.98,259.0773283331851
55950,1119.0,259.0758356347878
55951,1119.02,259.07207292741253
55952,1119.04,259.06840563992347
55953,1119.06,259.0684130128705
55954,1119.08,259.0761860082648
55955,1119.1,259.072925200545
55956,1119.12,259.0756716724728
55957,1119.14,259.07500730203094
55958,1119.16,259.0708322162819
55959,1119.18,259.0625631968464
55960,1119.2,259.0771014296655
55961,1119.22,259.078720848419
55962,1119.24,259.0664011706867
55963,1119.26,259.0812495323852
55964,1119.28,259.06960808000827
55965,1119.3,259.08363951762567
55966,1119.32,259.0744683652968
55967,1119.34,259.07274160547604
55968,1119.36,259.0722441532759
55969,1119.38,259.09107453028395
55970,1119.4,259.0886345792379
55971,1119.42,259.07614178151886
55972,1119.44,259.07580900963274
55973,1119.46,259.0790945994624
55974,1119.48,259.08438879050465
55975,1119.5,259.07358362384366
55976,1119.52,259.07985710841984
55977,1119.54,259.0737351135789
55978,1119.56,259.0850800281722
55979,1119.58,259.0824371509273
55980,1119.6,259.0730213108223
55981,1119.62,259.08698849263203
55982,1119.64,259.07385761621543
55983,1119.66,259.075548645894
55984,1119.68,259.0804221931816
55985,1119.7,259.07360131724727
55986,1119.72,259.0760129500337
55987,1119.74,259.083561597116
55988,1119.76,259.0757268066633
55989,1119.78,259.0863097272649
55990,1119.8,259.084135250857
55991,1119.82,259.07401241303694
55992,1119.84,259.09268514328147
55993,1119.86,259.086197827467
55994,1119.88,259.0756120035792
55995,1119.9,259.0713693134115
55996,1119.92,259.0779430392579
55997,1119.94,259.0693200283425
55998,1119.96,259.0701732401026
55999,1119.98,259.0787206864231
56000,1120.0,259.0771788915836
56001,1120.02,259.07509797647435
56002,1120.04,259.0874024877083
56003,1120.06,259.08031564430803
56004,1120.08,259.09492192657547
56005,1120.1,259.0856899475125
56006,1120.12,259.09157697517026
56007,1120.14,259.1013820657634
56008,1120.16,259.0855514949648
56009,1120.18,259.09104620469486
56010,1120.2,259.0775942898105
56011,1120.22,259.08714665053753
56012,1120.24,259.08222566857205
56013,1120.26,259.0865285748537
56014,1120.28,259.078652676745
56015,1120.3,259.0918457106308
56016,1120.32,259.0906088985122
56017,1120.34,259.1003377706528
56018,1120.36,259.10437620198525
56019,1120.38,259.1076299329017
56020,1120.4,259.09730207625137
56021,1120.42,259.0894664578094
56022,1120.44,259.0972747828044
56023,1120.46,259.10609959566034
56024,1120.48,259.0989508585384
56025,1120.5,259.10146676685747
56026,1120.52,259.0937478444481
56027,1120.54,259.10112477894273
56028,1120.56,259.08786170386014
56029,1120.58,259.0984596034775
56030,1120.6,259.09575192081576
56031,1120.62,259.08854963579734
56032,1120.64,259.1071880456488
56033,1120.66,259.10441380138525
56034,1120.68,259.1110009264287
56035,1120.7,259.1090977374544
56036,1120.72,259.1032766298972
56037,1120.74,259.1192055900224
56038,1120.76,259.1074758163114
56039,1120.78,259.0943503439127
56040,1120.8,259.09684635963697
56041,1120.82,259.10065946158755
56042,1120.84,259.0953299948693
56043,1120.86,259.0868047997542
56044,1120.88,259.0997637339827
56045,1120.9,259.0946772867278
56046,1120.92,259.097763348896
56047,1120.94,259.0854862684466
56048,1120.96,259.10352198245
56049,1120.98,259.0975126753712
56050,1121.0,259.09553978474423
56051,1121.02,259.1062251431771
56052,1121.04,259.1034602333523
56053,1121.06,259.11119303202804
56054,1121.08,259.099261686985
56055,1121.1,259.10640059418193
56056,1121.12,259.10420425311486
56057,1121.14,259.10328349236
56058,1121.16,259.10253992630936
56059,1121.18,259.09620799000334
56060,1121.2,259.1021045949336
56061,1121.22,259.10070571816084
56062,1121.24,259.10520295216975
56063,1121.26,259.09934554229017
56064,1121.28,259.1000292851029
56065,1121.3,259.1112382771282
56066,1121.32,259.1044480135297
56067,1121.34,259.1011233894744
56068,1121.36,259.1076894155277
56069,1121.38,259.1130670151761
56070,1121.4,259.1132708825825
56071,1121.42,259.10983808083233
56072,1121.44,259.09415824317125
56073,1121.46,259.1070358946458
56074,1121.48,259.0953312484863
56075,1121.5,259.0911494918224
56076,1121.52,259.10086404287426
56077,1121.54,259.1000585332394
56078,1121.56,259.08752704636777
56079,1121.58,259.0889525563293
56080,1121.6,259.09550293925355
56081,1121.62,259.08467905465454
56082,1121.64,259.0828303854878
56083,1121.66,259.0985245938025
56084,1121.68,259.08624059189776
56085,1121.7,259.08769527174354
56086,1121.72,259.1025388592858
56087,1121.74,259.098515943659
56088,1121.76,259.0913118066814
56089,1121.78,259.09334754574775
56090,1121.8,259.1064761500904
56091,1121.82,259.0989366254668
56092,1121.84,259.0824140512636
56093,1121.86,259.10252180120176
56094,1121.88,259.09466775843265
56095,1121.9,259.08850273733304
56096,1121.92,259.1019729598058
56097,1121.94,259.09958979476653
56098,1121.96,259.11414010302315
56099,1121.98,259.0949329023693
56100,1122.0,259.100696044113
56101,1122.02,259.1113211524445
56102,1122.04,259.1207416934965
56103,1122.06,259.11469972815115
56104,1122.08,259.1147190808159
56105,1122.1,259.12596134038466
56106,1122.12,259.12140549102025
56107,1122.14,259.10854034672263
56108,1122.16,259.11104409995005
56109,1122.18,259.12000904266165
56110,1122.2,259.11607000992774
56111,1122.22,259.1080395777508
56112,1122.24,259.1111032926862
56113,1122.26,259.1063784256081
56114,1122.28,259.1169208097848
56115,1122.3,259.11636433565377
56116,1122.32,259.1226481056258
56117,1122.34,259.11733182172605
56118,1122.36,259.1063480729246
56119,1122.38,259.1085622444017
56120,1122.4,259.1230550555304
56121,1122.42,259.1124663228124
56122,1122.44,259.1158208893815
56123,1122.46,259.1124014383381
56124,1122.48,259.1094634800629
56125,1122.5,259.1281126517894
56126,1122.52,259.1179582212146
56127,1122.54,259.1089644047664
56128,1122.56,259.11389019126386
56129,1122.58,259.11369429747725
56130,1122.6,259.1088815685209
56131,1122.62,259.1105997475124
56132,1122.64,259.1194361512646
56133,1122.66,259.1214289201023
56134,1122.68,259.11514926221486
56135,1122.7,259.1113925802316
56136,1122.72,259.12045407610856
56137,1122.74,259.1241693461799
56138,1122.76,259.1121676641314
56139,1122.78,259.1223761107896
56140,1122.8,259.1115174566044
56141,1122.82,259.1164110932506
56142,1122.84,259.1220337390555
56143,1122.86,259.1116017384393
56144,1122.88,259.10908858788696
56145,1122.9,259.1105933293315
56146,1122.92,259.1248488394139
56147,1122.94,259.126364153899
56148,1122.96,259.11563292913604
56149,1122.98,259.1224076299942
56150,1123.0,259.118036752951
56151,1123.02,259.10885290243954
56152,1123.04,259.11966252190314
56153,1123.06,259.1120302355934
56154,1123.08,259.1074470015223
56155,1123.1,259.1148662465788
56156,1123.12,259.1181167595834
56157,1123.14,259.1034058557066
56158,1123.16,259.116177281502
56159,1123.18,259.11978147008017
56160,1123.2,259.1085283298259
56161,1123.22,259.10764198576504
56162,1123.24,259.10848236529154
56163,1123.26,259.1230546336956
56164,1123.28,259.1103763228139
56165,1123.3,259.1099861146181
56166,1123.32,259.11399229284706
56167,1123.34,259.1113968144007
